Date,Open,High,Low,Close,Volume
11-01-2017,166.05,167.76,165.6,167.75,3599464
12-01-2017,167.77,168.01,165.56,167.95,2927973
13-01-2017,167.97,168.48,166.88,167.34,2875433
17-01-2017,166.69,168.18,166.12,167.89,3315655
18-01-2017,167.45,168.59,166.69,166.8,4007779
19-01-2017,166.96,167.45,165.8,166.81,6963386
20-01-2017,167.81,170.64,166,170.55,12690029
23-01-2017,170.08,171.25,170.01,171.03,5478224
24-01-2017,171.36,176,171.16,175.9,6952369
25-01-2017,176.26,179.25,176.13,178.29,5922462
26-01-2017,178.06,178.88,177.51,178.66,3063924
27-01-2017,178.47,179.2,177.3,177.3,3482311
30-01-2017,176.98,177.07,174.58,175.8,4094755
31-01-2017,175.05,175.58,173.61,174.52,4138962
01-02-2017,175,175.7,172.89,174.29,2795745
02-02-2017,174.23,174.97,173.55,174.58,2620526
03-02-2017,175,176.34,174.89,175.82,3309288
06-02-2017,175.31,175.98,174.38,175.86,2650785
07-02-2017,176,178.62,175.9,178.46,3873455
08-02-2017,177.5,177.5,175.88,176.17,2913126
09-02-2017,176.17,177.8,175.91,177.21,3090710
10-02-2017,177.37,178.87,176.76,178.68,2930710
13-02-2017,179.24,179.9,178.84,179.36,3093372
14-02-2017,178.57,180.13,178.35,180.13,2776528
15-02-2017,180.2,181.92,179.81,181.68,2914292
16-02-2017,181.45,182.79,180.87,181.43,3251547
17-02-2017,181.25,181.57,180,180.67,3552495
21-02-2017,180.6,180.79,179.12,180.26,4480299
22-02-2017,180.09,181.34,180.09,181.15,3020540
23-02-2017,182,182.5,180.92,181.65,2282526
24-02-2017,180.21,181.49,179.89,181.35,3300093
27-02-2017,181.19,181.25,179.28,179.4,3691327
28-02-2017,179.38,180.63,179.35,179.82,3273420
01-03-2017,180.48,182.55,180.03,181.95,3005564
02-03-2017,181.88,181.88,180.43,180.53,2918183
03-03-2017,180.04,181.32,179.76,180.05,1825048
06-03-2017,179.72,180.99,179.57,180.47,3204434
07-03-2017,180.71,181.29,180.2,180.38,2980516
08-03-2017,180.75,180.95,179.3,179.45,3557396
09-03-2017,179.15,179.25,175.88,177.18,5444076
10-03-2017,178.21,179.49,177.42,177.83,3100326
13-03-2017,177.85,178.06,176.42,176.46,3482189
14-03-2017,176.18,176.82,175.21,175.72,3147497
15-03-2017,175.71,176.28,174.75,175.81,3815537
16-03-2017,178.46,179,176.82,177.24,4311848
17-03-2017,176.29,176.79,175.65,175.65,5920967
20-03-2017,175.65,176.18,175.14,175.7,2476125
21-03-2017,176.01,176.23,173.84,173.88,3927741
22-03-2017,174.04,175.06,172.8,174.78,3450512
23-03-2017,174.43,175.67,173.56,174.82,3739976
24-03-2017,175.12,175.5,173.39,173.83,3221675
27-03-2017,172.69,174.16,172.09,173.77,3259049
28-03-2017,173.94,175,173,174.51,3523870
29-03-2017,174.3,174.49,173.46,173.94,3085606
30-03-2017,173.86,174.59,173.69,173.86,3168254
31-03-2017,173.98,174.95,173.69,174.14,2913684
03-04-2017,173.82,174.87,173.38,174.5,4286498
04-04-2017,173.52,174.96,173.26,174.52,3108885
05-04-2017,174.7,176.33,172.81,172.88,6238894
06-04-2017,173.47,173.47,172.25,172.45,3435403
07-04-2017,172.08,172.93,171.28,172.14,3588302
10-04-2017,172.53,172.56,171,171.2,3789936
11-04-2017,170.65,171.23,168.98,170.58,4891911
12-04-2017,171.04,171.2,170.02,170.66,3276931
13-04-2017,169.92,171.36,169.53,169.53,3205462
17-04-2017,169.75,171.3,169.62,171.1,3720218
18-04-2017,170.79,171.69,169.83,170.05,6345465
19-04-2017,161.76,162.64,159.6,161.69,19284284
20-04-2017,161.32,162.4,160.5,162.3,6487379
21-04-2017,162.05,162.11,160.38,160.38,5607756
24-04-2017,161.29,161.57,160.42,160.75,5320608
25-04-2017,161.78,162.04,160.38,160.39,4860407
26-04-2017,160.53,161.1,159.89,160.06,4328001
27-04-2017,160.29,160.48,159.63,160.32,4122943
28-04-2017,160.5,160.59,159.7,160.29,4154147
01-05-2017,160.05,160.42,158.7,158.84,4935312
02-05-2017,159.44,159.49,158.64,159.1,3208239
03-05-2017,158.74,159.45,158.52,158.63,3993396
04-05-2017,158.89,159.14,158.36,159.05,4280613
05-05-2017,153.52,155.78,153,155.05,12521335
08-05-2017,152.8,153.47,152.2,153.03,7491966
09-05-2017,152.6,153.1,151.56,152.11,6853043
10-05-2017,151.65,152.37,151.13,151.25,4999861
11-05-2017,151.05,151.15,149.79,150.65,5627964
12-05-2017,150.3,151.26,150,150.37,3715702
15-05-2017,150.62,151.83,150.45,151.51,4245471
16-05-2017,151.66,153.99,151.66,153.68,5513690
17-05-2017,153.3,154.14,150.89,150.93,5191494
18-05-2017,150.86,151.33,150.11,150.78,3274371
19-05-2017,151.01,152.46,150.89,151.98,5643264
22-05-2017,152.1,152.84,151.6,152.64,3302539
23-05-2017,152.57,153.68,151.92,152.03,2564503
24-05-2017,152.21,152.76,151.23,152.51,3732399
25-05-2017,153.25,153.73,152.95,153.2,2582815
26-05-2017,152.85,153,152.06,152.49,2443507
30-05-2017,151.95,152.67,151.59,151.73,3666032
31-05-2017,152.03,152.8,151.65,152.63,3543404
